TournamentID,Name,StartDate,EndDate,IsOver,IsInProgress,Venue,Location,Par,Yards,Purse,StartDateTime,Canceled,Covered,City,State,ZipCode,Country,TimeZone,Format,SportRadarTournamentID,OddsCoverage,Rounds
533,The Honda Classic,2023-02-23T00:00:00,2023-02-26T00:00:00,True,False,PGA National Resort (The Champion),"Palm Beach Gardens, FL",70.0,7140.0,8400000.0,2023-02-23T06:50:00,False,True,Palm Beach Gardens,FL,,USA,America/New York,Stroke,30a39a35-d177-40e9-b9bc-a9f902c684e3,Full,"[{'TournamentID': 533, 'RoundID': 19654, 'Number': 1, 'Day': '2023-02-23T00:00:00'}, {'TournamentID': 533, 'RoundID': 19655, 'Number': 2, 'Day': '2023-02-24T00:00:00'}, {'TournamentID': 533, 'RoundID': 19656, 'Number': 3, 'Day': '2023-02-25T00:00:00'}, {'TournamentID': 533, 'RoundID': 19657, 'Number': 4, 'Day': '2023-02-26T00:00:00'}]"
532,The Genesis Invitational,2023-02-16T00:00:00,2023-02-19T00:00:00,True,False,The Riviera Country Club,"Pacific Palisades, CA",71.0,7322.0,20000000.0,2023-02-16T09:40:00,False,True,Pacific Palisades,CA,,USA,America/Los Angeles,Stroke,1e350a57-d54f-4904-bb44-73b03dd7c801,Full,"[{'TournamentID': 532, 'RoundID': 19650, 'Number': 1, 'Day': '2023-02-16T00:00:00'}, {'TournamentID': 532, 'RoundID': 19651, 'Number': 2, 'Day': '2023-02-17T00:00:00'}, {'TournamentID': 532, 'RoundID': 19652, 'Number': 3, 'Day': '2023-02-18T00:00:00'}, {'TournamentID': 532, 'RoundID': 19653, 'Number': 4, 'Day': '2023-02-19T00:00:00'}]"
531,WM Phoenix Open,2023-02-09T00:00:00,2023-02-12T00:00:00,True,False,TPC Scottsdale (Stadium Course),"Scottsdale, AZ",71.0,7261.0,20000000.0,2023-02-09T09:15:00,False,True,Scottsdale,AZ,,USA,America/Phoenix,Stroke,62902ae6-af32-419c-91d6-4fec54a59fe3,Full,"[{'TournamentID': 531, 'RoundID': 19646, 'Number': 1, 'Day': '2023-02-09T00:00:00'}, {'TournamentID': 531, 'RoundID': 19647, 'Number': 2, 'Day': '2023-02-10T00:00:00'}, {'TournamentID': 531, 'RoundID': 19648, 'Number': 3, 'Day': '2023-02-11T00:00:00'}, {'TournamentID': 531, 'RoundID': 19649, 'Number': 4, 'Day': '2023-02-12T00:00:00'}]"
530,AT&T Pebble Beach Pro-Am,2023-02-02T00:00:00,2023-02-05T00:00:00,True,False,Pebble Beach Golf Links,"Pebble Beach, CA",72.0,7041.0,9000000.0,2023-02-02T11:30:00,False,True,Pebble Beach,CA,,USA,America/Los Angeles,Stroke,1fe9a678-6558-495c-a7b4-0734274964a3,Full,"[{'TournamentID': 530, 'RoundID': 19642, 'Number': 1, 'Day': '2023-02-02T00:00:00'}, {'TournamentID': 530, 'RoundID': 19643, 'Number': 2, 'Day': '2023-02-03T00:00:00'}, {'TournamentID': 530, 'RoundID': 19644, 'Number': 3, 'Day': '2023-02-04T00:00:00'}, {'TournamentID': 530, 'RoundID': 19645, 'Number': 4, 'Day': '2023-02-05T00:00:00'}]"
529,Farmers Insurance Open,2023-01-25T00:00:00,2023-01-28T00:00:00,True,False,Torrey Pines Golf Course (South Course),"San Diego, CA",72.0,7258.0,8700000.0,2023-01-25T12:00:00,False,True,San Diego,CA,,USA,America/Los Angeles,Stroke,dad58e15-9fab-49a5-a1e3-ea520f764698,Full,"[{'TournamentID': 529, 'RoundID': 19638, 'Number': 1, 'Day': '2023-01-25T00:00:00'}, {'TournamentID': 529, 'RoundID': 19639, 'Number': 2, 'Day': '2023-01-26T00:00:00'}, {'TournamentID': 529, 'RoundID': 19640, 'Number': 3, 'Day': '2023-01-27T00:00:00'}, {'TournamentID': 529, 'RoundID': 19641, 'Number': 4, 'Day': '2023-01-28T00:00:00'}]"
528,The American Express,2023-01-19T00:00:00,2023-01-22T00:00:00,True,False,Pete Dye Stadium Course,"La Quinta, CA",72.0,7060.0,8000000.0,2023-01-19T11:30:00,False,True,La Quinta,CA,,USA,America/Los Angeles,Stroke,bc61b9e3-e054-496b-bcb7-4756a0490c51,Full,"[{'TournamentID': 528, 'RoundID': 19634, 'Number': 1, 'Day': '2023-01-19T00:00:00'}, {'TournamentID': 528, 'RoundID': 19635, 'Number': 2, 'Day': '2023-01-20T00:00:00'}, {'TournamentID': 528, 'RoundID': 19636, 'Number': 3, 'Day': '2023-01-21T00:00:00'}, {'TournamentID': 528, 'RoundID': 19637, 'Number': 4, 'Day': '2023-01-22T00:00:00'}]"
527,Sony Open in Hawaii,2023-01-12T00:00:00,2023-01-15T00:00:00,True,False,Waialae Country Club,"Honolulu, HI",70.0,7044.0,7900000.0,2023-01-12T12:10:00,False,True,Honolulu,HI,,USA,Pacific/Honolulu,Stroke,890b3b99-9b4a-451a-90cf-9db4908e142b,Full,"[{'TournamentID': 527, 'RoundID': 19630, 'Number': 1, 'Day': '2023-01-12T00:00:00'}, {'TournamentID': 527, 'RoundID': 19631, 'Number': 2, 'Day': '2023-01-13T00:00:00'}, {'TournamentID': 527, 'RoundID': 19632, 'Number': 3, 'Day': '2023-01-14T00:00:00'}, {'TournamentID': 527, 'RoundID': 19633, 'Number': 4, 'Day': '2023-01-15T00:00:00'}]"
526,Sentry Tournament of Champions,2023-01-05T00:00:00,2023-01-08T00:00:00,True,False,Plantation Course at Kapalua,"Kapalua, Maui, HI",73.0,7596.0,15000000.0,2023-01-05T14:30:00,False,True,"Kapalua, Maui",HI,,USA,Pacific/Honolulu,Stroke,beea275d-7a29-47bf-a124-4cf06bcdcaab,Full,"[{'TournamentID': 526, 'RoundID': 19626, 'Number': 1, 'Day': '2023-01-05T00:00:00'}, {'TournamentID': 526, 'RoundID': 19627, 'Number': 2, 'Day': '2023-01-06T00:00:00'}, {'TournamentID': 526, 'RoundID': 19628, 'Number': 3, 'Day': '2023-01-07T00:00:00'}, {'TournamentID': 526, 'RoundID': 19629, 'Number': 4, 'Day': '2023-01-08T00:00:00'}]"
525,QBE Shootout,2022-12-09T00:00:00,2022-12-11T00:00:00,False,False,Tiburón Golf Course,"Naples, FL",72.0,6556.0,3800000.0,,False,True,Naples,FL,,USA,America/New York,Stroke,,Full,"[{'TournamentID': 525, 'RoundID': 19623, 'Number': 1, 'Day': '2022-12-09T00:00:00'}, {'TournamentID': 525, 'RoundID': 19624, 'Number': 2, 'Day': '2022-12-10T00:00:00'}, {'TournamentID': 525, 'RoundID': 19625, 'Number': 3, 'Day': '2022-12-11T00:00:00'}]"
524,Hero World Challenge,2022-12-01T00:00:00,2022-12-04T00:00:00,True,False,Albany,"New Providence, Bah",72.0,7449.0,3500000.0,2022-12-01T11:00:00,False,True,New Providence,,,BAH,America/Nassau,Stroke,0299292e-fa35-403a-9b25-7959a58ab418,Full,"[{'TournamentID': 524, 'RoundID': 19619, 'Number': 1, 'Day': '2022-12-01T00:00:00'}, {'TournamentID': 524, 'RoundID': 19620, 'Number': 2, 'Day': '2022-12-02T00:00:00'}, {'TournamentID': 524, 'RoundID': 19621, 'Number': 3, 'Day': '2022-12-03T00:00:00'}, {'TournamentID': 524, 'RoundID': 19622, 'Number': 4, 'Day': '2022-12-04T00:00:00'}]"
