id,name,event_type,purse,winning_share,currency,points,start_date,end_date,course_timezone,status,seasons,coverage,venue,rounds,field
,,,,,,,,,,,,,,,"{'id': '8cea0a81-9c21-4ba3-b1fb-c27de752491e', 'first_name': 'Mikumu', 'last_name': 'Horikawa', 'country': 'JAPAN', 'abbr_name': 'M.Horikawa'}"
,,,,,,,,,,,,,,,"{'id': 'e53f4a04-d8c9-45f0-87be-71c4c9dbf9b3', 'first_name': 'Rikuya', 'last_name': 'Hoshino', 'country': 'JAPAN', 'abbr_name': 'R.Hoshino'}"
,,,,,,,,,,,,,,,"{'id': '7060c098-0919-4fbb-9c12-c396378fd6e5', 'first_name': 'Beau', 'last_name': 'Hossler', 'country': 'UNITED STATES', 'abbr_name': 'B.Hossler'}"
,,,,,,,,,,,,,,,"{'id': '965d925a-5ecd-409c-beb7-a34ef1ca52f3', 'first_name': 'Viktor', 'last_name': 'Hovland', 'country': 'NORWAY', 'abbr_name': 'V.Hovland'}"
,,,,,,,,,,,,,,,"{'id': 'e0bb81ec-b52c-4805-bb9a-a90fa981b5fb', 'first_name': 'Mark', 'last_name': 'Hubbard', 'country': 'UNITED STATES', 'abbr_name': 'M.Hubbard'}"
,,,,,,,,,,,,,,,"{'id': '6cad8490-72de-4df2-9d6a-ee1be88df338', 'first_name': 'Mackenzie', 'last_name': 'Hughes', 'country': 'CANADA', 'abbr_name': 'M.Hughes'}"
,,,,,,,,,,,,,,,"{'id': '0c6211a3-ded4-49cf-a63c-190fbbff0ea0', 'first_name': 'John', 'last_name': 'Huh', 'country': 'UNITED STATES', 'abbr_name': 'J.Huh'}"
,,,,,,,,,,,,,,,"{'id': 'ac1db384-8cb4-4223-bc46-60f4ed963645', 'first_name': 'Sungjae', 'last_name': 'Im', 'country': 'SOUTH KOREA', 'abbr_name': 'S.Im'}"
,,,,,,,,,,,,,,,"{'id': '674c3342-7479-40b6-81d3-3eeb7a4cb81b', 'first_name': 'Shugo', 'last_name': 'Imahira', 'country': 'JAPAN', 'abbr_name': 'S.Imahira'}"
,,,,,,,,,,,,,,,"{'id': '77685028-690c-4ec4-9f82-eb38f2481016', 'first_name': 'Aguri', 'last_name': 'Iwasaki', 'country': 'JAPAN', 'abbr_name': 'A.Iwasaki'}"
,,,,,,,,,,,,,,,"{'id': 'e046f164-25bb-4bdb-b0cd-7a594edd9e0e', 'first_name': 'Hiroshi', 'last_name': 'Iwata', 'country': 'JAPAN', 'abbr_name': 'H.Iwata'}"
,,,,,,,,,,,,,,,"{'id': '5488bb49-3607-4517-a3a1-5cf68737aa37', 'first_name': 'Stephan', 'last_name': 'Jaeger', 'country': 'GERMANY', 'abbr_name': 'S.Jaeger'}"
,,,,,,,,,,,,,,,"{'id': 'a0a52f7a-4dbf-4656-ba47-1e1b6de63411', 'first_name': 'Takumi', 'last_name': 'Kanaya', 'country': 'JAPAN', 'abbr_name': 'T.Kanaya'}"
,,,,,,,,,,,,,,,"{'id': '7a0277b6-8e6a-4590-ae98-f2335fcabc91', 'first_name': 'Naoyuki', 'last_name': 'Kataoka', 'country': 'Japan', 'abbr_name': 'N.Kataoka'}"
,,,,,,,,,,,,,,,"{'id': 'b59048c3-989d-49bf-b0cc-e5516c67da64', 'first_name': 'Yuto', 'last_name': 'Katsuragawa', 'country': 'Japan', 'abbr_name': 'Y.Katsuragawa'}"
,,,,,,,,,,,,,,,"{'id': '922957dd-de83-40bc-a32a-d65d67515a43', 'first_name': 'Riki', 'last_name': 'Kawamoto', 'country': 'JAPAN', 'abbr_name': 'R.Kawamoto'}"
,,,,,,,,,,,,,,,"{'id': 'aca3420a-9ed0-444d-b214-f831561f7c71', 'first_name': 'Tom', 'last_name': 'Kim', 'country': 'SOUTH KOREA', 'abbr_name': 'T.Kim'}"
,,,,,,,,,,,,,,,"{'id': '21886b8c-d915-4bbc-9bda-0352821c432b', 'first_name': 'Si Woo', 'last_name': 'Kim', 'country': 'SOUTH KOREA', 'abbr_name': 'S.Kim'}"
,,,,,,,,,,,,,,,"{'id': '5e4d3877-596c-4165-93d6-cda69c29447a', 'first_name': 'Kurt', 'last_name': 'Kitayama', 'country': 'UNITED STATES', 'abbr_name': 'K.Kitayama'}"
,,,,,,,,,,,,,,,"{'id': '0e1589f1-3921-4b6b-9003-29a4f38415bb', 'first_name': 'Russell', 'last_name': 'Knox', 'country': 'SCOTLAND', 'abbr_name': 'R.Knox'}"
,,,,,,,,,,,,,,,"{'id': 'a6e8282b-2a5d-44fb-b28a-4e5c27770aaf', 'first_name': 'Satoshi', 'last_name': 'Kodaira', 'country': 'JAPAN', 'abbr_name': 'S.Kodaira'}"
