id,name,event_type,currency,course_timezone,coverage,status,scoring_system,seasons,leaderboard,start_date,end_date,purse,points,network,winning_share,cut_round,cutline,projected_cutline
28af1e61-fbd8-484b-9203-3dfcab71b336,Shriners Children's Open,stroke,USD,America/Los_Angeles,full,closed,stroke,"[{'id': '133720bb-8653-4d8e-9f49-b9f4fe41a161', 'year': 2022, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}]","{'position': 93, 'tied': True, 'score': -3, 'strokes': 139, 'status': 'CUT', 'rounds': [{'score': -1, 'strokes': 70, 'thru': 18, 'eagles': 0, 'birdies': 4, 'pars': 11, 'bogeys': 3, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}, {'score': -2, 'strokes': 69, 'thru': 18, 'eagles': 0, 'birdies': 5, 'pars': 11, 'bogeys': 1, 'double_bogeys': 1, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 2}]}",2021-10-07,2021-10-10,7000000.0,500.0,The Golf Channel,1260000.0,2.0,-5.0,-5.0
ee3b3868-96be-42f1-ac36-bf22e022287d,Andalucia Masters,stroke,EUR,Europe/Madrid,full,closed,stroke,"[{'id': '45f997ac-9b7e-41e3-8af3-564eaa21d248', 'year': 2021, 'tour': {'id': 'e97bb87a-6347-40d0-8c8c-3d0f54a41043', 'alias': 'EURO', 'name': 'DP World Tour'}}]","{'position': 25, 'tied': True, 'money': 26156.0, 'points': 37.96, 'score': 2, 'strokes': 286, 'rounds': [{'score': 1, 'strokes': 72, 'thru': 18, 'eagles': 0, 'birdies': 2, 'pars': 13, 'bogeys': 3, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}, {'score': 0, 'strokes': 71, 'thru': 18, 'eagles': 0, 'birdies': 2, 'pars': 14, 'bogeys': 2, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 2}, {'score': 1, 'strokes': 72, 'thru': 18, 'eagles': 0, 'birdies': 2, 'pars': 13, 'bogeys': 3, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 3}, {'score': 0, 'strokes': 71, 'thru': 18, 'eagles': 0, 'birdies': 3, 'pars': 12, 'bogeys': 3, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 4}]}",2021-10-14,2021-10-17,3000000.0,,,,2.0,5.0,
91cf5556-9c9f-4854-9fb5-b46c977919cc,Butterfield Bermuda Championship,stroke,USD,America/Nassau,full,closed,stroke,"[{'id': '133720bb-8653-4d8e-9f49-b9f4fe41a161', 'year': 2022, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}]","{'position': 62, 'tied': True, 'money': 14365.0, 'points': 4.0, 'score': 0, 'strokes': 284, 'rounds': [{'score': 0, 'strokes': 71, 'thru': 18, 'eagles': 0, 'birdies': 4, 'pars': 10, 'bogeys': 4, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}, {'score': -2, 'strokes': 69, 'thru': 18, 'eagles': 0, 'birdies': 3, 'pars': 14, 'bogeys': 1, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 2}, {'score': 0, 'strokes': 71, 'thru': 18, 'eagles': 0, 'birdies': 1, 'pars': 16, 'bogeys': 1, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 3}, {'score': 2, 'strokes': 73, 'thru': 18, 'eagles': 0, 'birdies': 2, 'pars': 12, 'bogeys': 4, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 4}]}",2021-10-28,2021-10-31,6500000.0,500.0,The Golf Channel,1170000.0,2.0,0.0,0.0
452b2d79-a7bf-4461-91e0-2fe26e787b4c,World Wide Technology Championship at Mayakoba,stroke,USD,America/Cancun,full,closed,stroke,"[{'id': '133720bb-8653-4d8e-9f49-b9f4fe41a161', 'year': 2022, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}]","{'position': 15, 'tied': True, 'money': 109800.0, 'points': 49.0, 'score': -13, 'strokes': 271, 'rounds': [{'score': -4, 'strokes': 67, 'thru': 18, 'eagles': 0, 'birdies': 4, 'pars': 14, 'bogeys': 0, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}, {'score': 0, 'strokes': 71, 'thru': 18, 'eagles': 0, 'birdies': 2, 'pars': 14, 'bogeys': 2, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 2}, {'score': -5, 'strokes': 66, 'thru': 18, 'eagles': 0, 'birdies': 5, 'pars': 13, 'bogeys': 0, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 3}, {'score': -4, 'strokes': 67, 'thru': 18, 'eagles': 0, 'birdies': 6, 'pars': 10, 'bogeys': 2, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 4}]}",2021-11-04,2021-11-07,7200000.0,500.0,The Golf Channel,1296000.0,2.0,-4.0,-4.0
5b20cde6-915b-486c-b8b6-e8fa53ad3835,Houston Open,stroke,USD,America/Chicago,full,closed,stroke,"[{'id': '133720bb-8653-4d8e-9f49-b9f4fe41a161', 'year': 2022, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}]","{'position': 19, 'tied': True, 'money': 85661.0, 'points': 41.0, 'score': -2, 'strokes': 278, 'rounds': [{'score': 1, 'strokes': 71, 'thru': 18, 'eagles': 1, 'birdies': 2, 'pars': 11, 'bogeys': 3, 'double_bogeys': 1, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}, {'score': -1, 'strokes': 69, 'thru': 18, 'eagles': 0, 'birdies': 4, 'pars': 11, 'bogeys': 3, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 2}, {'score': 0, 'strokes': 70, 'thru': 18, 'eagles': 0, 'birdies': 1, 'pars': 16, 'bogeys': 1, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 3}, {'score': -2, 'strokes': 68, 'thru': 18, 'eagles': 0, 'birdies': 4, 'pars': 12, 'bogeys': 2, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 4}]}",2021-11-11,2021-11-14,7500000.0,500.0,The Golf Channel,1350000.0,2.0,1.0,1.0
91c1dfd8-de1c-4fc5-8c01-444196e2d77d,The RSM Classic,stroke,USD,America/New_York,full,closed,stroke,"[{'id': '133720bb-8653-4d8e-9f49-b9f4fe41a161', 'year': 2022, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}]","{'position': 16, 'tied': True, 'money': 106200.0, 'points': 48.0, 'score': -11, 'strokes': 271, 'rounds': [{'score': -4, 'strokes': 68, 'thru': 18, 'eagles': 0, 'birdies': 5, 'pars': 12, 'bogeys': 1, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}, {'score': -3, 'strokes': 67, 'thru': 18, 'eagles': 1, 'birdies': 4, 'pars': 10, 'bogeys': 3, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 2}, {'score': -2, 'strokes': 68, 'thru': 18, 'eagles': 0, 'birdies': 2, 'pars': 16, 'bogeys': 0, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 3}, {'score': -2, 'strokes': 68, 'thru': 18, 'eagles': 0, 'birdies': 5, 'pars': 10, 'bogeys': 3, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 4}]}",2021-11-18,2021-11-21,7200000.0,500.0,The Golf Channel,1296000.0,2.0,-4.0,-4.0
01fcec41-a01a-4112-812f-330306255c4a,Sony Open in Hawaii,stroke,USD,Pacific/Honolulu,full,closed,stroke,"[{'id': '133720bb-8653-4d8e-9f49-b9f4fe41a161', 'year': 2022, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}]","{'position': 90, 'tied': True, 'score': -2, 'strokes': 138, 'status': 'CUT', 'rounds': [{'score': -3, 'strokes': 67, 'thru': 18, 'eagles': 0, 'birdies': 4, 'pars': 13, 'bogeys': 1, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}, {'score': 1, 'strokes': 71, 'thru': 18, 'eagles': 0, 'birdies': 2, 'pars': 15, 'bogeys': 0, 'double_bogeys': 0, 'other_scores': 1, 'holes_in_one': 0, 'sequence': 2}]}",2022-01-13,2022-01-16,7500000.0,500.0,The Golf Channel,1350000.0,2.0,-5.0,-5.0
03027bc8-3d01-4159-a14d-dfb3fb2b1acd,The American Express,stroke,USD,America/Los_Angeles,full,closed,stroke,"[{'id': '133720bb-8653-4d8e-9f49-b9f4fe41a161', 'year': 2022, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}]","{'position': 59, 'tied': True, 'money': 17024.0, 'points': 5.0, 'score': -7, 'strokes': 281, 'rounds': [{'score': -5, 'strokes': 67, 'thru': 18, 'eagles': 2, 'birdies': 3, 'pars': 11, 'bogeys': 2, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}, {'score': -5, 'strokes': 67, 'thru': 18, 'eagles': 0, 'birdies': 5, 'pars': 13, 'bogeys': 0, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 2}, {'score': 0, 'strokes': 72, 'thru': 18, 'eagles': 0, 'birdies': 5, 'pars': 9, 'bogeys': 3, 'double_bogeys': 1, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 3}, {'score': 3, 'strokes': 75, 'thru': 18, 'eagles': 0, 'birdies': 5, 'pars': 7, 'bogeys': 5, 'double_bogeys': 0, 'other_scores': 1, 'holes_in_one': 0, 'sequence': 4}]}",2022-01-20,2022-01-23,7600000.0,500.0,The Golf Channel,1368000.0,3.0,-7.0,-7.0
7c9025a0-021c-4bf6-8375-c1c3639e2862,Farmers Insurance Open,stroke,USD,America/Los_Angeles,full,closed,stroke,"[{'id': '133720bb-8653-4d8e-9f49-b9f4fe41a161', 'year': 2022, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}]","{'position': 6, 'tied': True, 'money': 265020.0, 'points': 86.0, 'score': -13, 'strokes': 275, 'rounds': [{'score': -5, 'strokes': 67, 'thru': 18, 'eagles': 1, 'birdies': 6, 'pars': 8, 'bogeys': 3, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}, {'score': -4, 'strokes': 68, 'thru': 18, 'eagles': 1, 'birdies': 4, 'pars': 11, 'bogeys': 2, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 2}, {'score': -4, 'strokes': 68, 'thru': 18, 'eagles': 0, 'birdies': 6, 'pars': 10, 'bogeys': 2, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 3}, {'score': 0, 'strokes': 72, 'thru': 18, 'eagles': 0, 'birdies': 5, 'pars': 8, 'bogeys': 5, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 4}]}",2022-01-26,2022-01-29,8400000.0,500.0,"The Golf Channel, CBS",1512000.0,2.0,-3.0,-3.0
ff676a42-ed4f-4937-8eaa-3b5de660e9fa,AT&T Pebble Beach Pro-Am,stroke,USD,America/Los_Angeles,full,closed,stroke,"[{'id': '133720bb-8653-4d8e-9f49-b9f4fe41a161', 'year': 2022, 'tour': {'id': 'b52068af-28e4-4e91-bdbb-037591b0ff84', 'alias': 'pga', 'name': 'PGA Tour'}}]","{'position': 64, 'tied': True, 'money': 17661.0, 'points': 3.0, 'score': -4, 'strokes': 211, 'status': 'MDF', 'rounds': [{'score': 1, 'strokes': 72, 'thru': 18, 'eagles': 1, 'birdies': 3, 'pars': 9, 'bogeys': 4, 'double_bogeys': 1, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}, {'score': -1, 'strokes': 71, 'thru': 18, 'eagles': 0, 'birdies': 3, 'pars': 13, 'bogeys': 2, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 2}, {'score': -4, 'strokes': 68, 'thru': 18, 'eagles': 0, 'birdies': 6, 'pars': 10, 'bogeys': 2, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 3}]}",2022-02-03,2022-02-06,8700000.0,500.0,"The Golf Channel, CBS",1566000.0,3.0,-4.0,-4.0
